carrera,edad,materias_aprobadas
Medicina,20,3
Ingenieria Civil,18,4
Psicologia,23,2
Administracion de Empresas,18,3
Ingenieria Informatica,25,5
Ingenieria Informatica,21,5
Ingenieria Informatica,22,5
Arquitectura,21,5
Derecho,24,6
Derecho,24,6
Ingenieria Informatica,23,1
Economia,23,3
Arquitectura,21,4
Ingenieria Informatica,23,4
Ingenieria Informatica,20,3
Ingenieria Informatica,22,6
Medicina,22,8
Administracion de Empresas,20,5
Medicina,20,5
Medicina,24,6
Derecho,25,1
Ingenieria Informatica,25,5
Medicina,20,6
Medicina,26,3
Administracion de Empresas,21,2
Psicologia,23,4
Ingenieria Informatica,19,4
Administracion de Empresas,22,3
Administracion de Empresas,22,9
Ingenieria Informatica,18,4
Derecho,23,2
Ingenieria Informatica,26,4
Ingenieria Informatica,21,6
Ingenieria Civil,26,5
Economia,21,5
Psicologia,24,3
Medicina,20,7
Ingenieria Informatica,29,6
Derecho,26,7
Medicina,22,5
Ingenieria Informatica,18,6
Administracion de Empresas,22,3
Ingenieria Informatica,18,4
Ingenieria Civil,23,7
Medicina,24,8
Derecho,19,2
Medicina,26,5
Administracion de Empresas,24,4
Administracion de Empresas,24,3
Ingenieria Informatica,22,5
Economia,18,7
Psicologia,24,5
Ingenieria Civil,21,4
Arquitectura,18,6
Administracion de Empresas,26,4
Ingenieria Civil,28,5
Ingenieria Informatica,21,7
Ingenieria Informatica,28,1
Ingenieria Informatica,22,6
Medicina,21,1
Medicina,21,7
Medicina,27,3
Arquitectura,19,2
Medicina,25,6
Medicina,21,5
Administracion de Empresas,20,3
Ingenieria Informatica,25,2
Psicologia,20,4
Ingenieria Informatica,20,2
Economia,25,2
Psicologia,26,5
Ingenieria Informatica,23,3
Ingenieria Informatica,20,5
Psicologia,20,7
Derecho,22,4
Psicologia,22,5
Psicologia,19,9
Ingenieria Informatica,24,2
Medicina,23,7
Ingenieria Informatica,18,7
Arquitectura,19,6
Derecho,20,7
Medicina,22,5
Ingenieria Informatica,27,3
Medicina,23,7
Medicina,20,7
Psicologia,22,7
Derecho,20,5
Arquitectura,22,3
Administracion de Empresas,23,5
Ingenieria Informatica,25,6
Derecho,21,7
Psicologia,26,4
Administracion de Empresas,24,5
Psicologia,19,2
Administracion de Empresas,28,6
Administracion de Empresas,22,3
Medicina,20,6
Ingenieria Informatica,26,2
Ingenieria Informatica,28,7
Ingenieria Informatica,21,5
Derecho,20,3
Medicina,22,6
Administracion de Empresas,24,3
Ingenieria Civil,25,6
Ingenieria Informatica,23,4
Medicina,23,1
Psicologia,26,3
Ingenieria Informatica,21,4
Ingenieria Informatica,25,7
Medicina,22,6
Ingenieria Informatica,23,8
Ingenieria Civil,21,8
Psicologia,21,3
Derecho,20,4
Arquitectura,26,4
Psicologia,19,3
Ingenieria Informatica,19,1
Arquitectura,28,4
Administracion de Empresas,24,2
Psicologia,18,4
Arquitectura,20,9
Medicina,20,3
Ingenieria Informatica,19,5
Ingenieria Informatica,18,6
Medicina,22,5
Psicologia,18,5
Arquitectura,22,4
Ingenieria Informatica,18,4
Administracion de Empresas,22,3
Medicina,21,6
Ingenieria Informatica,26,1
Ingenieria Informatica,26,6
Medicina,25,2
Ingenieria Civil,21,6
Medicina,28,4
Administracion de Empresas,18,2
Derecho,18,6
Medicina,22,6
Economia,28,4
Economia,21,6
Medicina,22,1
Administracion de Empresas,18,2
Medicina,25,7
Medicina,25,4
Ingenieria Informatica,24,1
Derecho,20,3
Administracion de Empresas,19,3
Ingenieria Informatica,18,4
Medicina,23,4
Ingenieria Civil,18,5
Ingenieria Informatica,18,4
Ingenieria Informatica,20,7
Administracion de Empresas,20,5
Economia,20,5
Ingenieria Informatica,23,7
Derecho,22,4
Psicologia,21,2
Ingenieria Informatica,22,7
Psicologia,19,5
Medicina,23,5
Derecho,22,3
Derecho,18,3
Administracion de Empresas,24,6
Ingenieria Informatica,19,6
Arquitectura,22,6
Medicina,26,6
Ingenieria Informatica,24,6
Ingenieria Informatica,22,5
Administracion de Empresas,20,4
Derecho,24,7
Ingenieria Informatica,24,4
Administracion de Empresas,20,5
Ingenieria Informatica,19,3
Derecho,18,3
Ingenieria Informatica,22,4
Derecho,21,3
Medicina,26,6
Ingenieria Civil,23,2
Ingenieria Informatica,26,5
Medicina,20,5
Ingenieria Informatica,25,1
Ingenieria Civil,20,4
Arquitectura,24,5
Medicina,20,5
Derecho,22,4
Psicologia,18,6
Administracion de Empresas,21,4
Administracion de Empresas,23,5
Ingenieria Informatica,20,5
Ingenieria Informatica,18,6
Arquitectura,24,3
Ingenieria Civil,21,4
Derecho,20,3
Medicina,23,4
Medicina,30,7
Psicologia,25,6
Arquitectura,25,2
Arquitectura,23,3
Psicologia,22,5
Derecho,18,3
Ingenieria Informatica,19,3
Ingenieria Informatica,20,7
Arquitectura,18,3
Derecho,18,6
Ingenieria Informatica,18,7
Ingenieria Informatica,21,3
Derecho,24,3
Ingenieria Informatica,25,4
Ingenieria Informatica,23,2
Administracion de Empresas,19,5
Derecho,18,4
Derecho,18,5
Ingenieria Informatica,18,7
Derecho,19,6
Ingenieria Informatica,21,5
Medicina,20,1
Psicologia,23,5
Derecho,21,8
Arquitectura,22,1
Derecho,25,6
Administracion de Empresas,18,4
Ingenieria Informatica,23,3
Medicina,22,6
Medicina,21,8
Ingenieria Informatica,24,6
Economia,24,4
Medicina,20,3
Arquitectura,21,5
Derecho,22,6
Psicologia,21,4
Administracion de Empresas,23,4
Administracion de Empresas,22,10
Administracion de Empresas,27,7
Ingenieria Informatica,18,7
Psicologia,21,2
Medicina,20,3
Ingenieria Informatica,23,5
Derecho,18,2
Ingenieria Informatica,23,8
Ingenieria Civil,20,7
Ingenieria Civil,19,3
Ingenieria Civil,18,8
Medicina,21,4
Ingenieria Informatica,25,10
Ingenieria Civil,21,5
Medicina,24,6
Economia,26,7
Economia,22,7
